company,date,description,title
Info Edge,2023-08-22,It is Permanent work from home Good Communication Skills,Hiring For Customer Care *Trainee* For JobHai.com | WFH |
BYJUS,2023-08-21,Desired Candidate Profile . BTech / M.tech or MSc in the field of respective subject from a reputed institute. .,Online Faculty - JEE (Physics/ Chemistry/Maths)
Teleperformance (TP),2023-08-19,"Customer support executiveOnly for Delhi/Gurgaon location5 day workingRotational shifts and offsGood communication skillsWork from homeSystem will be providedVoice processFor more information, share your resume @7628869627",Customer Support Executive
HCLTech,2023-08-17,"HCL is hiring Tandem Developer,remote joiner required on immediate to 30 days NoticeShould have 5 to 10+ years of working experience in tandem application programmingIntermediate knowledge of OSS,TAL,and Financial transactions (ACH).  . Good to have knowledge of core Java programming and Web Services.  .",Tandem Developer
IGT Solutions,2023-08-17,"Bachelors degree in Computer Science,Engineering,or a related fieldHands on experience with regression for web applicationWorking Knowledge of Salesforce Sales Cloud CRM experience Leads,Accounts,Opportunities,product customizationSalesforce certifications,such as Certified Platform Developer or Certified Administrator,are a plus",Salesforce Automation Test Lead || US Shift || Immediate Joiner
IGT Solutions,2023-08-17,"Educated to a minimum of Degree level in a Technology discipline and possessing 4 or more years experience in development or implementation of large scale critical infrastructure projects,as well as experience of designing and modeling complex commercial real-time and high availability systemsExperience with ALM and Jira Must have strong English / Communications skills",Automation Testing (UFT / Selenium) || Immediate Joiner || US Shift
Teleperformance (TP),2023-08-08,It will be Work from home process and candidates must have there own laptop. Shift timings - Rotational shifts and rotational offs. Work mode - Work from home . Minimum Experience - Fresher / experience. salary-Flat 18k ctc. Minimum System Requirements,Bulk Hiring - Work From Home
Teleperformance (TP),2023-08-05,Bulk hiring for Work from Home Premium Customer Service Process !Should be comfortable with 6 Days working & Rotational Shifts .  Minimum Qualification: Graduate Preferred candidate- Should own a laptop / desktop . - i5 processor . - 8 GB RAM Proven customer support experience or experience as a Client Service Representative,Teleperformance hiring Fresher/Exp For WFH Customer Service Process
Teleperformance (TP),2023-08-08," HR-Greetings, Teleperformance is hiring for work from Home.- PAN India Roles and Responsibilities- candidate should be able to manage a large amount of inbound and outbound calls.Establish and continually improve customer satisfaction and loyalty with the operations, products, services by understanding customer expectations and needs and addressing them responsibly and effectively.Contacting customers to give them accurate feedback on the progress of their inquiries.Maintaining confidentiality of information.Performing other duties as the need arises.Qualification and Skills Must be 18 years of age or olderGraduate With 6 Months of experience can applyMust be available to work occasional nights, holidays and weekendsExcellent verbal and written communication skillsShould be fluent in English and HindiSystem requirementMust have own Desktop or LaptopMinimum i5 processor is requiredMinimum 8GB RAMWindows 10 and aboveWeb camera should be workingUSB - Headphones with attached micMust have Wi-Fi or Broadband connectionSpeed should be 25MBPS download and UploadSalary and other Benefits Provident FundESI - Employee state insuranceJob TypeRotational Shifts6 days working 1 day rotational offContractual Work From HomeHR details Sukanya RoyInterested candidates can drop their cv and the properties on Whatsapp number @ 7002958099 Contact @",Teleperformance : Work from Home recruitment
Efftronics Systems,2023-08-22,"Should willing to work in anywhere India, Working on State-of-the-art Products of IOT Technologies – by Installing, testing, Commissioning and Maintaining them, Required to travel to sites on day to day to install and maintain our products.",Solution Support Engineer
